,tweet_text,sentiment
0,:Hello Japan is a nuclear power plant crisis. ,0
1,. Renewable Energy Consumption Tops Nuclear for FirstTime  is nuclear energy renewable,2
2,. Will liberals now seek to eliminate dangerous nuclear power plants?  green energy news,2
3,"(Aug 22,2011)Plant Status of Fukushima Daiichi Nuclear Power Station (as of 3:00 pm, Aug. 22)  #tepco #japan",2
4, Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages | P... ,2
5," Nuclear Power Safety Campaign Organizer - Temporary / Union of Concerned Scientists / Cambridge, MA ",2
6, Nuclear Power Plant: Radioactive Tritium Contamination in Vermont  #nwo,2
7, Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages |... ,2
8, :P How many windmills would you need to produce as much power as one average nuclear power station? windmills,2
9,"  I'm for nuclear energy, when done correctly. But this plant was built to a 1970's standard.",1
10," 6 min Video: Masao Yoshida, of Fukushima Diichi Nuclear Station thanks all for aid and reports current progress.",2
11, 74 percent favor gradual reduction of nuclear power plants: Mainichi poll - Mainichi Daily News,2
12, Coal seen as possible alternative to nuclear power: EGAT,2
13, Experts are not sure of the economic side project of the Lithuanian nuclear power plant,2
14, Five Star•_¨ Enters Nuclear Power Supply Market,2
15, Five Star•_¨ Enters Nuclear Power Supply Market - PR Newswire (press release),2
16, health newspaper articles Complete rejection of peaceful nuclear energy will require a multi-million dollar inves...,2
17, India to accord highest safety standards for civil nuclear energy: PM - Economic Times,2
18, Nuclear Power 101 via Arnie Gundersen w #Resume  #SCCouncil #NIRS,2
19, PM bats for nuclear energy - Times of India,2
20, Saudi Arabia's Nuclear Energy Ambitions - Energy Collective,2
21,,2
22, What's happening  Fukushima nuclear power plant?!,2
23, Would you rather have a few dozen wind turbines or a nuclear power plant near your home? . turbines power,0
24," YNN/Marist Poll: How New Yorkers feel about nuclear power, hydrofracking",2
25, Ever hears talk of a place in north MI around a nuclear power plant that is bow hunting only?,2
26, No. It's in north west Missouri it's a WMA around a nuclear power plant. 6000 ac. My buddy was looking to go. Bow only.,2
27, LOL The best bumper sticker I ever saw was:  I guess that one dates me.,2
28, - newamerica9.com is an investment website or are you talking about nuclear energy dangers?,2
29,"  : Science Saturday: Nuclear energy, melting ice caps, and human adaptation ",2
30,  'Hinkley Point C' - Britain's newest nuclear power station #nuclear,2
31,  - She is a mess. I am thinking of moving back down that way after 2012. Here is another we did: ,3
32,"    Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!",2
33,"  Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!",2
34,"   has  on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear",2
35,   I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your  and heart.,0
36,  Nuclear Energy is good until something happens. Is it really worth the Risk of Radiation at Extreme Levels! NO!,0
37,"  The only problem is that prosperity was built on nuclear energy and not renewables, so they are in trouble now",0
38,   Top 10 things Indian citizens could do in case of a #nuclear power plant accident in the country ,2
39,"   we gotta pioneer new technologies to help us all endure the radiation, and shut down #nuclear energy plants for good! #Tesla",0
40,    Ground is cracking underneath Fukushima nuclear :  #fukushima,2
41," Good decision and further evidence that, like #nuclear power, #SmartGrid can't survive without a #CorporateEntitlement",2
42,  #InHarperstopsyturvyCanada Nuclear power is considered safe and affordable.....Green power is not #cdnpoli,1
43,  #Marxism #Socialism Nuclear power plant workers defeat attack on pensions: After an 18-day strike...  #p2 #rebelleft,2
44,"  #News #Energy Nuclear power generation to touch 20,000 MW in 20 years ",2
45,"  #News #IndustryNews Nuclear power generation to touch 20,000 MW in 20 years ",2
46,  #nuclear Turkey moves forward with nuclear energy plans - Marketplace.publicradio.org ,2
47,  #SMR are possibly important #nuclear #technology •_É•_Êit's important not to impede their #development -  #nuclear #energy,2
48,  #TEPCO to desalinate used fuel pools at #Fukushima Daiichi #nuclear energy facility - ,2
49,  #Utah moving closer to getting its first #nuclear power plant ,2
50,  #Vermont #Yankee #Nuclear #Power #Plant #Vermont Groups team up to fight nuclear relicensing ,2
51,  15 years of French #nuclear #energy use has created so much waste that a *whole room* needs to be dedicated to storage ,0
52," 4:30 PM ET, watch the Nuclear Energy Town Hall Meeting from August 2 on the Florida Channel  WEB1 at TheFloridaChannel.org.",2
53,  5 Largest #Solar Installations in the World - promising alternatives to #nuclear power plants ,2
54,  66th Carnival of Nuclear Energy Bloggers online now at ANS #Nuclear Cafe ,2
55,  66th Carnival of Nuclear Energy Bloggers online now at ANS Nuclear Cafe ,2
56," a few years ago, you told me of self sufficient nuclear power 1x1m cubes that cld power a town for 15 years. What were they called?",2
57,  A photographer made exclusive pictures inside the #Fukushima #nuclear power plant: ,2
58,  A planet powered by thorium? Thorium reactors could rescue nuclear power ,2
59,  Abbasi says Russia has proposed cooperating with Iran on building new nuclear power plants in the country  via ,2
60,  Activists' Guide to Fighting Nuclear Power. Public Citizen Climate and Energy:  via ,2
61,"  Again! TransCanada Tar Sands expose, how 7 pipelines and nuclear power fit into the overall strategy. ",2
62,  Alabama Nuclear Power Plant Gets Go-Ahead for Construction ----  ----- Please ; it's enough already!,2
63,  An interview with  Nuclear Power •_Ð How safe is it and what have we learned from Japan? | ,2
64,  ANS Nuclear Cafe: Saudi Arabia boosts its nuclear energy ambitions ,2
65,  Anti nuclear power T-shirt  #nonukes,0
66,  anybody want to buy a floating nuclear power plant? cheap?  via ,2
67, Are you guys going to be phasing out nuclear energy then?,2
68,"  As China pushes forward on nuclear energy, the U.S. is held back by red tape and irrational fear ",2
69,"  Best part about the new Alabama nuclear power plant? If there is a meltdown, the wind will carry all the radiation to Knoxville.",2
70,  Blue Castle Nuclear Project Closer to Filing Licensing Application  #nuclear #energy #electricity #utilities,2
71, BREAKING: Hokkaido governor formally approves restart of commercial operations of No.3 reactor at Tomari nuclear power plant,2
72,  Can Tokyo function without nuclear power? asks  ,2
73,  Canada may become the first nation in the world to use nuclear energy to ACCELERATE fossil fuel production. #cfsfcee,2
74,  China Takes Lead in Race for Clean Nuclear Power #thorium ,2
75," Climate change is real, and nuclear power is safe; that these FACTS are denied by alternate groups is ULTIMATE FRUSTRATION.",1
76,  Coal seen as possible alternative to nuclear power: EGAT ,2
77," Couple nuclear power and near-100% efficient electric motors, and you have a near-wasteless process with no carbon emission.",2
78, Cucumbers and nuclear power.,2
79,  Debate: Does the world need nuclear energy? ,2
80,  Devastating March 11 #earthquake leaves Japan pondering its fuel mix. See Platts The Barrel blog at  #nuclear #energy,2
81, Did they mention why Ancient Aliens came all the way to earth to mine gold or only used nuclear power? Gold only exists on Earth.,2
82,  Discussion: Is #Nuclear #Energy Safer Than Previously Thought? ,2
83,  Do you know the facts about US #nuclear energy production? Get them in our updated  of quick facts - ,2
84,  Does anyone have an informed update on the clean-up progress at #Fukushima Nuclear Power Plant? It seems to have disappeared from the news.,2
85,  Don't Count Out Nuclear Energy Just Yet: The summer meeting of the American Nuclear Society could have been a wa... ,2
86,  Exelon CEO tell ANS nation must dispense with #Fukushima fears because it needs #nuclear energy ,2
87,  Expert commentary on the safety of #nuclear #energy ,2
88, Fission not a theory. It's how all nuclear power plants less than 93 million miles from Earth work.,2
89,  Floating Nuclear Power Plant Seized By Court: bit.ly/qYRdXw via ,2
90,"  Florida senator challenges utilities on nuclear power cost recovery, again.  #sayfie  ",2
91,  Florida should persevere on nuclear power plants: Great op ed article from the editors of the D...  #nuclear #energy,2
92,  For those seeking info  Facts about nuclear energy: ,2
93,"  From WSMV: TVA nuke construction, rates on board agenda: Nuclear power plant safety and fossil fuel emissions ar... ",2
94,  Fukushima Dai-ichi nuclear power plant may not achieve cold shutdown as soon as planned: Tokyo (cont) ,2
95," GE laser breakthrough could also lead to lower cost nuclear energy, and reduced fossil fuel sales. Motive for opposition?",2
96,"  Germany plans to move away from nuclear power, which constitutes 22% of country•_Õs energy source, in 11 years. via ",2
97, got hacked by anonymous. anonymous also hacked the FBI and a russian nuclear power plant..,2
98,  Govt Expanding Civil Nuclear Energy Programme: PM ,2
99, Happy to spread the word about a fine nuclear power plant!,1
100, has  he tells FresBee edit board. Cites climate change as major reason 4 stance #559vote,2
101," has  on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear",2
102, Has to follow his own advices and recognize mistakes about nuclear energy: ,2
103,  HILLSBOROUGH: Students Attend Nuclear Energy Forum: Hillsborough teens were among 200 New Jersey high school stu... ,2
104, hmmm read about his views on environmental and nuclear energy policies.,2
105,  How our kids are being schooled by the nuclear industry  via ,2
106,"  I am tweeting, #s_t_r",0
107, I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your  and heart.,0
108, I'd go to the MLP universe and introduce nuclear energy and warfare strategies to the ponies. #fuckthepolice,2
109,"  I'm also confused how Japan's nuclear energy is not a threat, while Iran's is. How does physics not work the same all over the world?",2
110, I'm assuming nuclear power is a growing industry right now?,2
111, i'm skeptical that he knows shit about nuclear energy apart from ,2
112,  Idaho Samizdat: Nuke Notes: 66th Carnival of Nuclear Energy Bloggers ,2
113," If McGuinty has his way natural gas will be redundant and expensive wind, solar and dangerous nuclear energy will replace it.",2
114,  if we work #TOGETHER we can phase-out nuclear power and replace it with clean energy ... :),0
115,  In #national #science and #politics news: PM says Nuclear energy vital for growth!,1
116,"  In Japan the 6th graders take field trips to nuclear power plants? Gees, makes my field trips to the movie theater look really boring",2
